userName,password,firstName,infix,lastName,role
talmama,U#Dfh]$em,Mariella,,Talman,Student
knobbse,Xt$G?'Rp%u,Selvi,,Knobben,Coordinator
bruijes,`'q%*Aaua,Esmeralda,,Bruijns,Student
yeunglo,xFXT8emew.,Louise,,Yeung,Student
çobanma,K1moL:aYJ3,Margret,,Çoban,Student
makkiel,kfnA$Q)Els,Eliane,,Makkink,Student
sneldfo,:r+d-\a9K,Fokko,,Snelder,Student
goddina,<T84$br[O,Nathaly,,Goddijn,Administrator
keskima,&nkx`Y:Yfc,Marre,,Keskin,Student
agemair,.j=h<APycX,Ireen,,Agema,Administrator
looijem,FQFK)ccQ0',Emel,,Looij,Student
grienan,X_9V\Kl'jf,Andréas,van,Griensven,Student
angelje,4qx+hB(Ah4,Jered,,Angela,Student
gravedi,dg7Y326)h,Dimitrios,,Gravemaker,Student
lentjco,0Ae*_zKR6y,Connor,,Lentjes,Student
otterma,'yzws3+(8,Maj,van,Otterlo,Docent
engelya,jBY4mjzG07,Yaniek,van,Engelenburg,Student
verbulu,^eG4k-X>C=,Lucille,,Verburgt,Student
bouwam,(*+o3QOVD,Amin,,Bouw,Student
veldhye,]$15RrJbxa,Yelina,,Veldhoen,Docent
faasssi,f&>zK`*AZo,Sietze,,Faassen,Student
baarlye,be\Nn4434,Yesim,van,Baarle,Student
fringjo,g585$DdgGe,Joël,,Frings,Student
jankise,KK]V-$HUEZ,Selenay,,Janki,Student
molly,alSq=*A>)k,Lydia,de,Mol,Student
lambrge,Mkr<#uG97_,Gertjan,,Lambrechts,Coordinator
schrisj,-.V@YX*C/7,Sjon,,Schrier,Student
reekema,_kxuzD]E8$,Marcelino,,Reekers,Student
houtetj,E)ST[P?@2,Tjarda,van den,Houten,Functioneel Beheerder
campsfe,#yV.[dl9q\,Feike,,Camps,Student
rondema,.EH20/Bo70,Mavis,de,Ronde,Student
wintelo,9A7q[Dvoj,Lonneke,,Winter,Student
hoffma,TI3G'p1w7A,Manal,van 't,Hoff,Student
landmka,H*w6N`\:ih,Kayla,,Landman,Student
smuldlu,kaP*1y,vkP,Lucía,,Smulders,Student
pardiva,!6dys)WC$9,Vanita,,Pardijs,Student
windhsi,Ky'D!kj$[v,Siebrand,,Windhorst,Student
noorha,h7.^10j3K[,Hager,,Noor,Coordinator
jelsmya,+A.fV`Za-,Yaela,,Jelsma,Student
reiniro,J$x3a4s]Ui,Romay,,Reinink,Docent
zuidear,2[[BG]UD>\,Arij,,Zuidema,Student
stegefa,V<v&mBa!w,Fady,,Stegehuis,Docent
sourebu,/'rO9PLho*,Buğra,,Souren,Student
schooza,w]hYM8:WI-,Zarah,,School,Docent
leussel,MwwiMOZ<Z.,Elle,,Leussink,Student
buinite,Y]j-4bT9j/,Teatske,,Buining,Student
hiddide,`O63@YLfVJ,Deon,,Hiddink,Student
stapge,A6UHc=hNC1,Gerianne,,Stap,Student
laarre,7^'(`O(tqK,Relinde,van de,Laar,Student
veltrli,h)6A+y[inu,Lilian,,Veltrop,Docent
gaaledo,2JzL]WR0$Q,Dora,van,Gaalen,Functioneel Beheerder
ammeral,dbkt&WwUMW,Alev,,Ammerlaan,Student
hoopeid,1^iE^mu]A,Idil,ten,Hoopen,Student
tuinedi,P4ijL9R*U,Dicle,van,Tuinen,Student
keupean,i!SO[x6b?D,Annegien,,Keuper,Student
ouwerwi,]X`>'+g?vU,Willibrordus,,Ouwerkerk,Student
grosju,$U?8mYk+V<,Judy,,Gros,Student
brugma,YEPz0>u=7X,Marèl,van de,Brug,Student
schepja,^V^kvvLz4A,Jans,,Schep,Student
dikkexe,#P[En\5*j,Xena,,Dikker,Student
oudenhe,rcuGzT::xl,Heba,,Oudendijk,Student
widdeae,wx?$yt4*,Aemilius,,Widdershoven,Administrator
cornemi,QmPr#'*M&,Milouda,,Cornelisse,Docent
königta,koM>3V9x5q,Tabitha,,König,Student
dijkeda,rm96(`3i=l,Dahlia,,Dijkers,Student
dreujo,&[W?xt02\e,Joury,de,Dreu,Coordinator
